('NXTD', '1.6300')
('ONTX', '0.9400')
('ONTXW', '0.2300')
('OPGN', '2.4400')
('OTLK', '2.4800')
('OTLKW', '0.2100')
('OTRAW', '1.2500')
('OXBRW', '0.0550')
('PAEWW', '2.3500')
('PAICW', '0.9900')
('PAVM', '2.1827')
('PAVMW', '0.9875')
('PAVMZ', '1.1900')
('PFIE', '1.1900')
('PFMT', '1.1900')
('PHICW', '1.8500')
('PHIOW', '0.1973')
('PHUNW', '0.2185')
('PLIN', '1.1400')
('PME', '1.6700')
('POAI', '1.4175')
('PT', '1.4400')
('PTE', '1.2300')
('PTICW', '1.8500')
('PTMN', '2.0100')
('PULM', '1.7000')
('PXS', '1.1600')
('PXSAW', '0.3600')
('RAVE', '1.2500')
('RCHGW', '1.4800')
('REED', '1.0800')
('RETO', '1.0800')
('RGLS', '1.6000')
('RIBT', '1.0900')
('RMTI', '1.4400')
('ROCCW', '2.4100')
('RVPHW', '0.7100')
('SAIIW', '2.1300')
('SALM', '1.8200')
('SEAC', '1.3400')
('SESN', '2.4100')
('SFET', '2.0000')
('SGAMW', '1.1600')
('SGLBW', '0.2800')
('SGOC', '1.8000')
('SGRP', '1.5500')
('SHIP', '1.1900')
('SHIPW', '0.0600')
('SHIPZ', '0.0600')
('SINT', '2.2800')
('SLRX', '1.6600')
('SMMCW', '1.1500')
('SNCA', '1.5500')
('SND', '2.0700')
('SNDL', '1.1500')
('SNES', '2.1600')
('SNGX', '1.7000')
('SNGXW', '0.3999')
('SNRHW', '1.5499')
('SOLOW', '0.75')
('SONM', '1.0700')
('SPCB', '1.7700')
('SPRT', '2.4900')
('SRACW', '0.50')
('SREV', '1.6900')
('SRSAW', '2.2200')
('SSKN', '1.9200')
('SSPKW', '0.60')
('STAF', '1.1500')
('STCN', '1.9300')
('STRM', '2.2500')
('SVACW', '1.3300')
('SVRA', '2.0000')
('SVSVW', '2.1700')
('SXTC', '0.8687')
('SYNC', '2.0900')
('TANH', '2.2000')
('TBLT', '1.4100')
('TBLTW', '0.0500')
('TDACW', '0.3000')
('TEKKW', '2.1700')
('TENX', '2.3800')
('TGA', '1.2700')
('TH', '1.8600')
('THBRW', '1.5500')
('THCAW', '0.4000')
('THCBW', '0.60')
('THWWW', '0.1500')
('TLGT', '1.0600')
('TLMDW', '1.3500')
('TMPMW', '1.8800')
('TMTSW', '1.4200')
('TNXP', '1.6589')
('TOPS', '2.1500')
('TRCH', '1.3500')
('TRITW', '1.9000')
('TWCTW', '2.3200')
('TWNKW', '0.8800')
('TXMD', '2.2370')
('TYME', '2.4700')
('UKOMW', '0.5500')
('UONEK', '1.9300')
('USWS', '1.0500')
('USWSW', '0.0480')
('UTSI', '2.0600')
('UXIN', '1.4700')
('VACQW', '1.9000')
('VEON', '1.6900')
('VERB', '2.0100')
('VERBW', '0.3000')
('VERO', '2.1800')
('VMACW', '1.0100')
('VRMEW', '1.4900')
('VSTM', '2.3800')
('VTAQR', '0.8064')
('VTAQW', '1.2500')
('VTGN', '1.9200')
('VTNR', '2.0750')
('VTVT', '2.4400')
('WORX', '2.3739')
('WSG', '2.4900')
