('BWAY, 7.95')
('BXG, 7.85')
('BXRX, 1.7700')
('BYFC, 2.2000')
('CAAP, 4.1000')
('CAAS, 6.77')
('CALA, 3.1900')
('CAN, 6.91')
('CAPAW, 1.9900')
('CAPR, 6.89')
('CARV, 9.05')
('CASA, 8.34')
('CASI, 3.5000')
('CATB, 3.3100')
('CBAT, 7.78')
('CBAY, 6.09')
('CBIO, 5.95')
('CBLI, 6.27')
('CCLP, 1.6900')
('CCM, 4.5000')
('CCNC, 3.1567')
('CCO, 1.9400')
('CCRC, 4.5500')
('CCRN, 9.43')
('CDE, 9.19')
('CDEV, 3.4500')
('CDTX, 2.5500')
('CDXC, 5.27')
('CECE, 7.19')
('CEIX, 9.39')
('CEL, 3.6600')
('CELP, 2.9300')
('CEMI, 7.77')
('CEPU, 2.3900')
('CERC, 3.4300')
('CEREW, 3.6400')
('CERS, 7.65')
('CETX, 1.9985')
('CETXP, 2.2600')
('CETXW, 0.0951')
('CFACW, 2.9200')
('CFIIW, 2.3500')
('CFMS, 1.3000')
('CFRX, 5.19')
('CGA, 5.65')
('CGIX, 4.1000')
('CGROW, 3.3300')
('CHCI, 3.5100')
('CHEK, 1.7400')
('CHEKZ, 0.0800')
('CHFS, 8.88')
('CHMA, 4.4653')
('CHMI, 9.33')
('CHNR, 2.4105')
('CHPMW, 0.9800')
('CHRA, 3.7000')
('CHS, 2.3400')
('CHU, 5.45')
('CHW, 9.99')
('CIA, 5.81')
('CIDM, 1.8800')
('CIF, 2.5200')
('CIG, 2.6500')
('CIH, 2.3800')
('CJJD, 1.2800')
('CKPT, 3.6000')
('CLBS, 2.2700')
('CLEU, 3.9900')
('CLIR, 4.5300')
('CLMT, 3.9000')
('CLNC, 8.50')
('CLNNW, 2.0000')
('CLNY, 5.39')
('CLOVW, 2.8400')
('CLPR, 7.42')
('CLPS, 3.9000')
('CLRB, 2.2400')
('CLRBZ, 0.0600')
('CLRO, 3.1900')
('CLS, 9.00')
('CLSD, 3.4700')
('CLSN, 1.9300')
('CLVRW, 2.6600')
('CLVS, 9.35')
('CLWT, 5.12')
('CMCM, 4.2300')
('CMLFW, 2.0000')
('CMLS, 9.73')
('CMO, 5.69')
('CMRE, 8.55')
('CMRX, 9.95')
('CMU, 4.4900')
('CNCE, 6.99')
('CNDT, 5.20')
('CNET, 2.9400')
('CNEY, 5.50')
('CNF, 3.4300')
('CNFR, 3.7400')
('CNSL, 5.96')
('CNSP, 3.6900')
('CNTY, 8.63')
('CO, 4.1300')
('COCP, 2.0450')
('CODA, 8.20')
('COMS, 4.85')
('COMSW, 1.2800')
('CONXW, 2.0700')
('COTY, 7.05')
('CPAC, 8.09')
('CPAH, 3.4600')
('CPG, 3.1900')
('CPIX, 3.3200')
('CPLG, 7.82')
('CPLP, 9.92')
('CPRX, 4.4200')
('CPSS, 4.2300')
('CRBP, 2.6400')
('CREG, 8.79')
('CRESY, 5.12')
('CREX, 1.9100')
('CREXW, 0.4600')
('CRK, 5.0000')
('CRKN, 5.0600')
('CRNT, 4.83')
('CRSAW, 1.4000')
('CRT, 8.15')
('CRTD, 4.3700')
('CRTDW, 1.8200')
('CRVS, 4.1000')
('CRWS, 8.00')
