('GLUU, 9.36')
('GLYC, 4.0900')
('GMBL, 8.41')
('GMLP, 3.4600')
('GNCA, 3.2500')
('GNE, 7.88')
('GNK, 8.06')
('GNPX, 6.43')
('GNSS, 7.90')
('GNUS, 1.9600')
('GNW, 3.6100')
('GOGL, 5.10')
('GOL, 9.35')
('GPMT, 9.95')
('GPRO, 8.53')
('GROW, 6.91')
('GSIT, 7.37')
('GSKY, 5.99')
('GSM, 3.4500')
('GSUM, 1.8500')
('GTIM, 3.6400')
('GTT, 5.0100')
('HALL, 4.3300')
('HBIO, 4.93')
('HBM, 6.07')
('HBP, 4.0000')
('HCHC, 3.9700')
('HDSN, 1.5900')
('HEPA, 2.3700')
('HEXO, 7.95')
('HIL, 2.3100')
('HL, 5.98')
('HLIT, 7.67')
('HLX, 4.7500')
('HMHC, 5.74')
('HMY, 4.2700')
('HROW, 9.97')
('HRTG, 9.32')
('HT, 8.20')
('HTBK, 9.30')
('HTGM, 6.68')
('HUGE, 2.2500')
('HWCC, 3.8800')
('HZN, 9.63')
('IAG, 3.4900')
('ICMB, 5.10')
('ICON, 2.9100')
('IDEX, 5.05')
('IDRA, 5.39')
('IFRX, 5.82')
('IMGN, 7.80')
('IMV, 4.4200')
('INFI, 4.44')
('ING, 9.36')
('INN, 9.06')
('INOD, 6.70')
('INVE, 9.81')
('IO, 2.9700')
('ISEE, 5.66')
('ISIG, 8.31')
('ITI, 6.00')
('ITUB, 5.25')
('IVAC, 6.79')
('IVR, 3.8300')
('JAGX, 2.7700')
('JAX, 7.62')
('JE, 7.52')
('JG, 5.72')
('JILL, 4.6500')
('JP, 2.3000')
('KALA, 9.92')
('KDMN, 5.32')
('KERN, 7.80')
('KGC, 7.05')
('KIN, 5.18')
('KMDA, 7.44')
('KMPH, 8.00')
('KNDI, 8.93')
('KOPN, 7.87')
('KOS, 2.5800')
('KRMD, 4.3700')
('KRP, 8.82')
('KTCC, 9.38')
('KXIN, 3.8900')
('KYN, 6.70')
('KZR, 5.35')
('LCI, 6.40')
('LEAF, 6.47')
('LEE, 1.9000')
('LEJU, 3.2300')
('LFT, 3.2300')
('LFVN, 9.68')
('LINC, 6.30')
('LIVX, 4.4440')
('LJPC, 7.19')
('LLNW, 4.5200')
('LOMA, 5.39')
('LOTZ, 9.65')
('LPCN, 1.9000')
('LQDA, 3.2200')
('LTRPA, 5.09')
('LXRX, 8.75')
('LXU, 3.9800')
('LYG, 1.9900')
('MACK, 7.46')
('MAGS, 5.30')
('MARK, 4.4600')
('MBI, 6.59')
('MBIO, 4.7000')
('MBT, 9.30')
('MCBC, 8.65')
('MDCA, 3.3200')
('MEIP, 3.8600')
('MESA, 7.11')
('MESO, 9.88')
('MFA, 3.9200')
('MFG, 2.8400')
('MFGP, 6.59')
('MFIN, 6.68')
('MG, 7.76')
('MGI, 8.81')
('MGTA, 9.83')
('MGY, 9.85')
('MHLD, 2.5000')
('MIND, 2.2700')
('MIST, 8.25')
('MITT, 3.6000')
('MLND, 2.3500')
('MMLP, 1.9100')
('MN, 6.61')
